Modelo,WAPE,MASE,MAE,RMSE,MAPE,sMAPE,MPE
Ensemble,16.46687635030306,0.752898921542847,24319489.404183682,28985223.254220273,28.007150700602068,23.57228878693223,-13.476539496570426
Global jerárquico,17.24469633810095,0.7916809422552098,25554988.093343735,32879474.8286604,28.102204350952558,24.88995106353744,-6.795931799116457
ETS,17.419327577335288,0.7831812936828592,25302704.779815365,30768096.07999937,24.401193069189272,21.507076860092422,-13.81372571225585
Global + drivers,17.964640793260276,0.8076437724295542,26052004.829242546,32998570.966799084,28.06839805714638,25.35625955945548,-5.089684022263529
Estacional drift,18.003463062567167,0.8376066696275354,27030989.290835667,33631720.003977984,29.378067246820745,26.19951795363985,-6.422451788935707
LightGBM+drivers,18.366478969657155,0.8255806158287574,26680908.07173972,32190454.414248675,40.422107513821665,26.65814888268093,-32.294496043002674
Naive estacional,18.95009621973527,0.8634169065839044,27870309.41166666,32462752.851956964,32.289817470168586,25.861334430640554,-17.997828229618786
SARIMA,19.544886605592563,0.889196618274895,28713064.858451042,33198770.407713953,33.03951884229755,26.187164710557337,-20.276830260625292
LightGBM-Optuna,19.564969184438382,0.866399801342696,27973773.003128573,29851250.967900142,73.10622933021345,32.73204475964141,-60.35892838506785
LightGBM,20.929898994096227,0.9336496794605607,30125818.27650745,33156463.8684057,46.7017202966843,30.547552694522874,-33.37434433653333
Descompuesto,21.358909973052818,0.9628770104085729,31072158.370276514,37137780.88668453,53.8849267220995,33.138408966502574,-38.766148089910956
XGBoost,24.376849942520863,1.0891898240914546,35201960.85888889,39555993.74081379,51.029958371199854,36.79504885220584,-28.642749215283857
LSTM,38.93653835981786,1.658789417460391,53607271.40572548,62937145.72410405,66.1753972811601,41.4006009816789,-57.613424950205776
Transformer,47.54239045065887,2.0474384486792667,66125552.63653726,79402711.50901005,206.50482925741403,58.77867997784304,-170.00210051733046
Naive,57.11606132841742,2.391537315786761,77267664.48111111,92367305.1769793,302.00116971414565,55.769363878401826,-284.0643310366375
