fecha,"COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES","EXT-CE-2021-12 TUBERIAS, PINTURAS, CERÁMICOS, SANITARIOS, ACCESORIOS, Y COMPLEMENTOS EN GENERAL","EXT-CE-2021-6 IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA","EXT-CE-2021-7 ÚTILES DE ESCRITORIO, PAPELES Y CARTONES","EXT-CE-2022-5 COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES  Y ESCÁNERES","IM-CE-2020-5 COMPUTADORAS DE ESCRITORIO, COMPUTADORAS PORTÁTILES Y ESCÁNERES","IMPRESORAS, CONSUMIBLES, REPUESTOS Y ACCESORIOS DE OFICINA",OTRAS,"ÚTILES DE ESCRITORIO, PAPELES Y CARTONES"
2022-01-31,0.0,1937748.9000000001,4744339.96,2217391.62,0.0,4078654.47,0.0,6257849.7700000005,0.0
2022-02-28,0.0,9226600.03,18633035.72,17943647.59,0.0,52595660.02,0.0,18016933.84,0.0
2022-03-31,0.0,24085308.91,33991394.79,31336664.26,0.0,77395094.29,0.0,40872814.2,0.0
2022-04-30,0.0,14557859.15,36400681.9,20035732.7,0.0,67194393.31,0.0,36194783.51,0.0
2022-05-31,0.0,15978538.16,40302554.85,25146371.11,0.0,79123675.95,0.0,48526869.56,0.0
2022-06-30,0.0,19111952.830000002,23667171.97,19384539.95,0.0,47689926.19,0.0,34225824.08,0.0
2022-07-31,0.0,26557259.39,26407249.52,21137265.54,0.0,40631187.65,0.0,34304269.0,0.0
2022-08-31,0.0,27463358.88,19413989.82,14937108.43,0.0,82161316.36999999,0.0,47169438.89,0.0
2022-09-30,0.0,21111782.98,26232645.29,21372689.259999998,0.0,96071618.88,0.0,32150777.15,0.0
2022-10-31,0.0,17547411.31,32407789.72,17534530.92,0.0,101639101.12,0.0,31441003.37,0.0
2022-11-30,0.0,23085033.43,36716584.24,18934732.38,0.0,81111894.71,0.0,39200756.5,0.0
2022-12-31,0.0,9947118.76,35575126.79,23266247.78,12793810.44,70278300.02,0.0,34130073.94,0.0
2023-01-31,0.0,248741.12,1975077.33,4480936.99,2575130.51,0.0,0.0,2531613.13,0.0
2023-02-28,0.0,4024857.21,22823969.39,24619047.26,3903770.3200000003,0.0,0.0,15575051.86,0.0
2023-03-31,0.0,14794315.93,37024959.37,36249085.13,23379925.95,0.0,0.0,43716539.54,0.0
2023-04-30,0.0,16421470.27,28004464.15,22714805.3,25797012.81,0.0,0.0,43502842.4,0.0
2023-05-31,0.0,21246095.72,29283006.45,22188818.99,41028164.41,0.0,0.0,54937808.4,0.0
2023-06-30,0.0,12935060.19,31838513.11,21032460.25,37152037.03,0.0,0.0,40853192.97,0.0
2023-07-31,0.0,19221458.03,22266870.47,15010799.46,38796109.48,0.0,0.0,39118216.91,0.0
2023-08-31,0.0,16120317.15,27195499.49,15043113.19,80864679.03,0.0,0.0,44082775.35,0.0
2023-09-30,0.0,17807386.97,26074575.04,13833332.43,48488658.36,0.0,0.0,46390995.39,0.0
2023-10-31,0.0,17685968.22,42475413.99,17240529.56,90573517.37,0.0,0.0,61991122.41,0.0
2023-11-30,0.0,9878215.63,43529814.52,13259595.29,138507859.24,0.0,0.0,71534741.0,0.0
2023-12-31,0.0,0.0,41664235.93,18169399.6,89007671.42,0.0,0.0,72627648.45,0.0
2024-01-31,0.0,0.0,1421738.92,3787056.54,3125882.48,0.0,0.0,9941434.76,0.0
2024-02-29,0.0,0.0,21509214.06,25745062.16,11564607.110000001,0.0,0.0,33066233.88,0.0
2024-03-31,0.0,0.0,29382450.37,32902424.02,43416906.1,0.0,0.0,68458870.98,0.0
2024-04-30,0.0,0.0,38349915.78,32885366.67,82290213.63,0.0,0.0,94145760.69,0.0
2024-05-31,0.0,0.0,31851444.46,20552020.07,48553921.940000005,0.0,0.0,89426752.99,0.0
2024-06-30,41740811.08,0.0,0.0,0.0,0.0,0.0,19046809.8,54443343.78,18006580.66
2024-07-31,37145018.87,0.0,0.0,0.0,0.0,0.0,21554549.74,61609393.41,14255935.9
2024-08-31,32665931.92,0.0,0.0,0.0,0.0,0.0,25831159.15,58374181.69,13916464.6
2024-09-30,72974252.11,0.0,0.0,0.0,0.0,0.0,20249504.97,54856171.13,12842184.42
2024-10-31,77761528.86,0.0,0.0,0.0,0.0,0.0,30757524.06,54872398.97,16855308.16
2024-11-30,132945612.71,0.0,0.0,0.0,0.0,0.0,45035534.96,55579859.03,17943088.97
2024-12-31,96422558.11,0.0,0.0,0.0,0.0,0.0,43790515.089999996,54230070.32,22375905.78
2025-01-31,8862806.08,0.0,0.0,0.0,0.0,0.0,2921226.7600000002,6709315.31,2911582.3
2025-02-28,5187832.23,0.0,0.0,0.0,0.0,0.0,18300198.29,23906724.36,20591232.63
2025-03-31,29657082.27,0.0,0.0,0.0,0.0,0.0,34295516.1,54863992.03,29562908.86
2025-04-30,21890574.19,0.0,0.0,0.0,0.0,0.0,35203644.77,63436949.28,24880863.22
2025-05-31,30785892.49,0.0,0.0,0.0,0.0,0.0,18478713.03,52095110.34,17667818.39
2025-06-30,38504240.06,0.0,0.0,0.0,0.0,0.0,22594969.29,51699692.66,32142843.84
2025-07-31,99155256.05,0.0,0.0,0.0,0.0,0.0,29995920.08,50127045.16,11942969.38
2025-08-31,53401142.11,0.0,0.0,0.0,0.0,0.0,20305652.83,43921258.38,12046943.1
2025-09-30,114539671.42999999,0.0,0.0,0.0,0.0,0.0,27525224.81,51785277.12,11888297.2
2025-10-31,133853984.49,0.0,0.0,0.0,0.0,0.0,24025960.86,50990846.13,10226208.99
2025-11-30,128007668.06,0.0,0.0,0.0,0.0,0.0,38888623.91,41849712.95,13625523.06
2025-12-31,92096317.18,0.0,0.0,0.0,0.0,0.0,30361880.95,41138018.03,0.0
2026-01-31,3620507.95,0.0,0.0,0.0,0.0,0.0,1634995.89,3104418.07,1321434.1199999999
2026-02-28,20321442.12,0.0,0.0,0.0,0.0,0.0,20812851.76,27187186.02,17636899.21
2026-03-31,18847586.18,0.0,0.0,0.0,0.0,0.0,30021142.6,59363690.15,28526298.03
2026-04-30,19217195.73,0.0,0.0,0.0,0.0,0.0,24121096.8,65603355.19,42306057.160000004
2026-05-31,27371855.54,0.0,0.0,0.0,0.0,0.0,18059536.69,43150795.92,17886986.91
