fecha,gasto,ordenes,ticket_promedio
2022-01-31,19235984.72,1102,17455.521524500906
2022-02-28,116415877.2,8265,14085.40558983666
2022-03-31,207681276.45,16660,12465.862932172868
2022-04-30,174383450.57,13311,13100.702469386222
2022-05-31,209078009.63,14392,14527.37698929961
2022-06-30,144079415.02,12035,11971.700458662235
2022-07-31,149037231.1,13072,11401.256969094247
2022-08-31,191145212.39,13220,14458.79064977307
2022-09-30,196939513.56,13403,14693.688992016712
2022-10-31,200569836.44,11458,17504.785864897887
2022-11-30,199049001.26,11520,17278.559137152777
2022-12-31,185990677.73,8764,21222.122059561843
2023-01-31,11811499.08,660,17896.210727272726
2023-02-28,70946696.04,6410,11068.127307332294
2023-03-31,155164825.92,13088,11855.503202933984
2023-04-30,136440594.93,10257,13302.19312957005
2023-05-31,168683893.97,12266,13752.15179928257
2023-06-30,143811263.55,10473,13731.620696075624
2023-07-31,134413454.35,10289,13063.801569637477
2023-08-31,183306384.21,10409,17610.374119511962
2023-09-30,152594948.19,9789,15588.410275819797
2023-10-31,229966551.55,10906,21086.241660553824
2023-11-30,276710225.68,11414,24243.054641668128
2023-12-31,221468955.4,10664,20767.906545386348
2024-01-31,18276112.7,752,24303.341356382978
2024-02-29,91885117.21,5716,16075.072989853043
2024-03-31,174160651.47,10132,17189.168127714172
2024-04-30,247671256.76999998,13854,17877.23810957124
2024-05-31,190384139.46,12072,15770.720631212724
2024-06-30,133237545.32,7872,16925.501183943088
2024-07-31,134564897.92,8028,16761.945430991527
2024-08-31,130787737.36,7594,17222.509528575192
2024-09-30,160922112.63,8211,19598.357402265254
2024-10-31,180246760.05,9290,19402.23466630786
2024-11-30,251504095.67,10067,24983.02331081752
2024-12-31,216819049.3,9294,23328.92718958468
2025-01-31,21404930.45,789,27129.18941698352
2025-02-28,67985987.51,5248,12954.647010289635
2025-03-31,148379499.26,11250,13189.28882311111
2025-04-30,145412031.46,10998,13221.679529005274
2025-05-31,119027534.25,8090,14712.921415327564
2025-06-30,144941745.85,9691,14956.325028376845
2025-07-31,191221190.67,8207,23299.767353478735
2025-08-31,129674996.42,7438,17434.121594514654
2025-09-30,205738470.56,7793,26400.41967919928
2025-10-31,219097000.47,8112,27008.999071745562
2025-11-30,222371527.98,7987,27841.683733567046
2025-12-31,163596216.16,5500,29744.766574545454
2026-01-31,9681356.03,459,21092.27893246187
2026-02-28,85958379.11,5193,16552.740055844406
2026-03-31,136758716.96,10641,12852.054972277043
2026-04-30,151247704.88,10543,14345.793880299725
2026-05-31,106469175.06,9044,11772.354606368863
